"application_id","gender","age_group","ethnicity","postcode","annual_income","credit_score","employment_years","debt_to_income_ratio","loan_amount","loan_purpose","previous_defaults","education_level","marital_status","occupation_category","loan_approved"
1,"Female","36-50","Caucasian","Urban_Center",68931,580,28,0.78,99157,"Education",0,"Bachelor","Married","Service","YES"
2,"Male","36-50","Hispanic","Suburban",78002,750,15,0.26,33712,"Home",0,"Bachelor","Single","Service","YES"
3,"Female","36-50","Caucasian","Suburban",78420,581,39,0.29,46207,"Car",1,"Bachelor","Single","Service","YES"
4,"Male","26-35","Hispanic","Urban_Center",39317,640,21,0.18,20249,"Education",0,"PhD","Single","Manual","NO"
5,"Male","26-35","Caucasian","Suburban",25000,710,2,0.3,83188,"Education",0,"High_School","Married","Professional","NO"
6,"Female","51-65","Caucasian","Rural",109107,589,27,0.17,24769,"Education",0,"High_School","Divorced","Service","YES"
7,"Male","26-35","Asian","Suburban",69628,658,25,0.21,32072,"Home",0,"Master","Single","Service","YES"
8,"Male","36-50","Caucasian","Rural",72513,808,17,0.6,56890,"Business",0,"PhD","Single","Professional","YES"
9,"Male","36-50","Caucasian","Low_Income_Area",41141,604,16,0.8,60959,"Business",0,"Bachelor","Single","Service","YES"
10,"Female","36-50","Other","Suburban",87651,534,30,0.51,47014,"Business",0,"Bachelor","Divorced","Service","YES"
11,"Non-binary","18-25","Caucasian","Urban_Center",101790,722,14,0.26,87762,"Education",1,"PhD","Married","Unemployed","NO"
12,"Female","36-50","Other","Urban_Center",95557,572,19,0.48,16033,"Education",0,"Bachelor","Single","Service","YES"
13,"Male","51-65","Caucasian","Rural",25000,623,10,0.74,92047,"Business",0,"Bachelor","Widowed","Professional","YES"
14,"Male","51-65","Caucasian","Rural",44190,701,26,0.14,15067,"Education",1,"Master","Divorced","Professional","NO"
15,"Female","65+","Caucasian","Urban_Center",66956,696,17,0.18,43756,"Home",0,"Bachelor","Married","Manual","NO"
16,"Male","36-50","Asian","Low_Income_Area",78937,768,28,0.15,80552,"Car",1,"PhD","Married","Professional","YES"
17,"Female","18-25","Other","Rural",54122,582,33,0.74,10199,"Home",0,"Master","Single","Professional","NO"
18,"Female","36-50","African_American","Suburban",47829,618,31,0.73,80458,"Personal",0,"Bachelor","Married","Unemployed","NO"
19,"Female","26-35","Caucasian","Urban_Center",69596,584,8,0.54,41358,"Home",0,"High_School","Married","Professional","YES"
20,"Non-binary","36-50","Caucasian","Low_Income_Area",46147,634,2,0.31,43110,"Education",0,"Master","Single","Manual","YES"
21,"Male","65+","Caucasian","Low_Income_Area",105870,849,15,0.24,42185,"Home",0,"High_School","Single","Service","NO"
22,"Male",NA,"Hispanic","Suburban",28490,644,0,0.28,6854,"Personal",0,"Bachelor","Married","Professional","YES"
23,"Male","65+","African_American","Suburban",75176,647,27,0.53,51351,"Home",0,"Master","Single","Professional","NO"
